feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.034812,-0.031564,-0.030674,0.0,-0.030987,0.001501,8.075508,175.447281,0.005028,0.002427,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.618209,0.67372,-2.16615,-1.971921,-1.40792,0.0,-1.390483,0.531074,0.143593,-1.450192,0.068239,0.12942,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,30.434702,24.578884,normal
-0.038071,-0.035067,-0.033312,0.0,-0.032995,0.002833,1.582943,16.411554,0.005066,0.003095,-0.0,2.12949,0.976562,2.929688,65.429687,1.953125,0.577393,0.634688,-2.100736,-1.875425,-1.48721,0.0,-1.280635,0.629199,0.379919,-1.403585,0.119769,0.059637,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,21.426777,19.457001,normal
-0.037086,-0.034516,-0.032313,0.0,-0.032202,0.002741,1.732312,17.02569,0.000216,0.002646,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.572744,0.642556,-2.030813,-1.752755,-1.280168,0.0,-1.24679,0.527915,0.166803,-1.360676,0.022912,0.033435,-0.0,2.12949,0.976562,1.953125,12.695313,65.429687,15.61984,10.058302,normal
-0.035431,-0.032833,-0.031613,0.0,-0.031758,0.001784,5.328691,96.10157,0.002666,0.002592,-0.0,2.12949,0.976562,65.429687,1.953125,2.929688,0.593466,0.658759,-2.02329,-1.804994,-1.2029,0.0,-1.180265,0.605667,0.113428,-1.49821,0.068459,0.014908,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,14.059026,9.278859,normal
-0.037257,-0.034216,-0.033263,0.0,-0.033077,0.001927,4.939876,83.045792,0.001664,0.001943,-0.0,2.12949,0.976562,2.929688,65.429687,16.601562,0.607408,0.646219,-2.094515,-1.89419,-1.465532,0.0,-1.347827,0.572351,0.303239,-1.336073,0.063259,0.019663,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,15.797039,10.312469,normal
-0.036792,-0.034712,-0.033017,0.0,-0.03249,0.002637,2.049257,20.849033,0.000761,0.002004,-0.0,2.12949,0.976562,1.953125,65.429687,64.453125,0.577441,0.652382,-2.019977,-1.755689,-1.038616,0.0,-1.097199,0.630707,-0.129125,-1.576123,0.073375,0.050873,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,16.59256,12.568661,normal
-0.032839,-0.031179,-0.030239,0.0,-0.029869,0.001786,4.770358,74.432465,0.003365,0.001839,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.544488,0.628363,-2.017159,-1.727448,-1.188868,0.0,-1.116561,0.615744,0.089165,-1.505366,0.085554,0.048388,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,15.740176,12.726203,normal
-0.032304,-0.02916,-0.02729,0.0,-0.027564,0.002106,1.872144,26.96063,0.002581,0.001955,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.511524,0.581101,-1.737004,-1.218006,-0.763849,0.0,-0.833799,0.402627,-0.266774,-1.232002,0.148583,0.077658,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,22.040493,25.975063,normal
-0.037467,-0.034898,-0.03336,0.0,-0.033313,0.002352,3.412767,39.027996,0.002392,0.001553,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.578405,0.663468,-1.969407,-1.551846,-0.953177,0.0,-1.033198,0.531179,-0.175072,-1.385326,0.137698,0.127871,-0.0,2.12949,1.953125,0.976562,2.929688,3.90625,35.549774,31.53418,normal
-0.036237,-0.033559,-0.03092,0.0,-0.031568,0.002248,2.232123,36.296494,0.004098,0.002817,-0.0,2.12949,0.976562,65.429687,1.953125,16.601562,0.594522,0.655823,-1.993781,-1.546288,-1.035424,0.0,-1.062655,0.545125,-0.175152,-1.449726,0.082494,0.168752,-0.0,2.12949,1.953125,0.976562,2.929688,4.882812,36.85775,33.641102,normal
-0.034583,-0.03312,-0.032272,0.0,-0.032315,0.00139,12.241161,282.768982,0.002161,0.002388,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.614235,0.673177,-1.929894,-1.704179,-1.041888,0.0,-1.103874,0.562714,-0.048848,-1.575311,0.170732,0.148684,-0.0,2.12949,0.976562,1.953125,12.695313,13.671875,35.909046,31.406332,normal
-0.040159,-0.037411,-0.035241,0.0,-0.03507,0.002852,1.896139,20.723415,0.004914,0.003272,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.632794,0.71974,-2.17969,-1.911605,-1.535064,0.0,-1.510586,0.428383,0.056033,-1.2457,0.13489,0.122601,-0.0,2.12949,0.976562,1.953125,3.90625,4.882812,29.146263,25.736206,normal
-0.032454,-0.028516,-0.026973,0.0,-0.027548,0.001755,3.065795,58.115883,0.004706,0.002462,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.589221,0.659758,-2.04498,-1.80485,-1.042727,0.0,-1.102351,0.648909,-0.116412,-1.663564,0.086945,0.089624,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,27.665432,24.342222,normal
-0.034614,-0.031302,-0.029894,0.0,-0.030391,0.001667,5.281672,106.321037,0.004733,0.002271,-0.0,2.12949,0.976562,1.953125,65.429687,5.859375,0.582776,0.650995,-2.150752,-1.942106,-1.289958,0.0,-1.28307,0.617962,0.078571,-1.554609,0.131838,0.14545,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,34.488918,29.274094,normal
-0.033599,-0.032321,-0.031897,0.0,-0.031695,0.001337,13.284868,306.275879,0.002353,0.002077,-0.0,2.12949,0.976562,65.429687,3.90625,64.453125,0.593755,0.667064,-2.065679,-1.837123,-1.431547,0.0,-1.409156,0.438811,0.155,-1.314721,0.141246,0.118615,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,29.879063,26.620693,normal
-0.033781,-0.031162,-0.030493,0.0,-0.030554,0.001513,7.896425,160.571884,0.006667,0.002366,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.599945,0.647336,-1.955453,-1.74798,-1.239099,0.0,-1.197558,0.544245,0.089391,-1.595034,0.118082,0.085489,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,24.190714,19.346144,normal
-0.032578,-0.030846,-0.030443,0.0,-0.030457,0.001139,18.635237,496.728821,0.001824,0.002466,-0.0,2.12949,0.976562,65.429687,1.953125,6.835937,0.594589,0.661259,-1.953214,-1.673453,-1.234535,0.0,-1.216259,0.478829,0.15724,-1.374652,0.099129,0.093725,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,24.320831,18.671169,normal
-0.033832,-0.030849,-0.030219,0.0,-0.030395,0.001398,9.595033,216.442123,0.001116,0.002583,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.583483,0.674707,-2.000551,-1.752487,-1.191074,0.0,-1.150817,0.589251,0.029647,-1.634138,0.104334,0.084628,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,25.271471,20.877527,normal
-0.035812,-0.03356,-0.031646,0.0,-0.031943,0.001964,4.023546,66.271851,0.003327,0.002199,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.615012,0.680859,-2.1707,-1.87525,-1.302632,0.0,-1.289798,0.590915,0.053149,-1.56072,0.130841,0.117765,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,29.970303,24.380911,normal
-0.03546,-0.033806,-0.033048,0.0,-0.033064,0.001376,13.478606,322.74649,0.005944,0.002364,-0.0,2.12949,0.976562,1.953125,65.429687,6.835937,0.643378,0.735601,-2.008748,-1.754251,-1.340306,0.0,-1.251405,0.52836,0.158624,-1.508077,0.099324,0.105646,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,29.280626,24.302128,normal
-0.038923,-0.036474,-0.035041,0.0,-0.035235,0.00175,7.754725,158.19902,0.002257,0.00198,-0.0,2.12949,0.976562,1.953125,65.429687,6.835937,0.656861,0.743215,-1.950588,-1.746092,-1.213344,0.0,-1.190562,0.551771,0.105874,-1.569514,0.114558,0.114683,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,29.488283,24.05378,normal
-0.038788,-0.035838,-0.034529,0.0,-0.034763,0.001755,7.362994,148.220871,0.002707,0.00284,-0.0,2.12949,0.976562,1.953125,65.429687,3.90625,0.657629,0.699734,-2.031142,-1.760278,-1.338582,0.0,-1.302675,0.481459,0.13809,-1.319637,0.159865,0.114945,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,28.505861,23.346045,normal
-0.036693,-0.034309,-0.033627,0.0,-0.033538,0.00148,11.434489,255.14978,0.004796,0.002736,-0.0,2.12949,0.976562,65.429687,2.929688,1.953125,0.639062,0.703447,-1.972652,-1.777749,-1.315923,0.0,-1.195235,0.585096,0.332763,-1.381879,0.083535,0.076025,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,19.949385,18.777069,normal
-0.035689,-0.033792,-0.0322,0.0,-0.031974,0.002256,2.8973,37.531151,0.005253,0.002677,-0.0,2.12949,0.976562,1.953125,65.429687,16.601562,0.599914,0.695007,-2.119871,-1.887736,-1.346973,0.0,-1.309742,0.581328,0.214043,-1.384022,0.069926,0.020479,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,15.172765,10.595587,normal
-0.036221,-0.034382,-0.033754,0.0,-0.03336,0.001783,7.143144,118.96907,0.001345,0.001755,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,0.611776,0.703637,-2.127406,-1.75622,-1.082516,0.0,-1.105488,0.651241,-0.052248,-1.516705,0.025896,0.001938,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,15.132998,9.766669,normal
-0.034236,-0.03256,-0.031385,0.0,-0.030978,0.002055,3.510551,48.463284,0.003912,0.002608,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.579812,0.675292,-1.910223,-1.676723,-1.085459,0.0,-1.073222,0.585612,0.091189,-1.542405,0.028735,0.029581,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,13.301847,9.3757,normal
-0.032549,-0.030813,-0.029514,0.0,-0.029095,0.002142,2.644211,31.418221,0.00413,0.001997,-0.0,2.12949,0.976562,1.953125,65.429687,2.929688,0.539786,0.639924,-1.97491,-1.655602,-1.155851,0.0,-1.10201,0.584898,0.090594,-1.480466,0.041245,0.026703,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,13.71292,9.274172,normal
-0.03098,-0.029383,-0.02875,0.0,-0.02846,0.001451,7.531889,142.434631,0.00139,0.002575,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.560119,0.629777,-2.006787,-1.74764,-1.242954,0.0,-1.196699,0.57978,0.163851,-1.456195,0.084483,0.031389,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,13.791785,9.01615,normal
-0.031651,-0.030051,-0.02961,0.0,-0.029301,0.00138,9.695012,196.438644,0.003911,0.001926,-0.0,2.12949,0.976562,1.953125,65.429687,4.882812,0.56348,0.619428,-2.182597,-1.913521,-1.430669,0.0,-1.348081,0.562367,0.247634,-1.328362,0.056423,0.039302,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,15.558187,10.333883,normal
-0.031477,-0.029612,-0.029072,0.0,-0.028705,0.001568,6.373151,107.869911,0.001236,0.002104,-0.0,2.12949,0.976562,65.429687,1.953125,16.601562,0.546794,0.636574,-2.184619,-1.962463,-1.477459,0.0,-1.393718,0.575462,0.29081,-1.321995,0.085258,0.03715,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,16.251469,11.046215,normal
-0.032221,-0.029699,-0.028428,0.0,-0.028263,0.001922,3.186359,43.874294,0.001959,0.002071,-0.0,2.12949,0.976562,65.429687,5.859375,2.929688,0.543199,0.633392,-1.972019,-1.746576,-1.292007,0.0,-1.206232,0.53368,0.240659,-1.356809,0.03653,0.027056,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,14.537874,9.669611,normal
-0.030304,-0.028192,-0.026408,0.0,-0.026831,0.001712,3.399351,57.060326,0.003989,0.002013,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.530183,0.646464,-1.940177,-1.695738,-1.22151,0.0,-1.176508,0.525656,0.15408,-1.340699,0.017504,0.055976,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,16.219017,9.927958,normal
-0.027821,-0.026315,-0.025533,0.0,-0.025185,0.001589,4.292138,60.097218,0.003663,0.002148,-0.0,1.962227,0.976562,65.429687,16.601562,5.859375,0.502114,0.591712,-2.065532,-1.889064,-1.362379,0.0,-1.276973,0.598889,0.236233,-1.426681,0.056753,0.034139,-0.0,1.962227,0.976562,1.953125,2.929688,4.882812,14.048491,8.870816,normal
-0.034449,-0.032172,-0.030936,0.0,-0.030394,0.00252,2.491123,20.353193,0.003596,0.002055,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,0.534041,0.594388,-2.030674,-1.708897,-1.03007,0.0,-1.114642,0.585462,-0.113162,-1.568391,0.031546,0.046722,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,16.835075,12.454359,normal
