feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.072017,-0.02301,-0.01207,0.018216,-0.014225,0.014783,-0.641593,0.440932,0.038763,0.008978,-0.0,0.0,70.3125,35.15625,105.46875,0.976562,2.791698,14.180661,-1.828472,-1.192458,-0.752795,0.574574,-0.738139,0.565491,0.158738,-0.870814,0.208979,0.141585,-0.0,0.0,0.976562,35.15625,34.179687,36.132812,45.776478,88.470833,rung_12_5
-0.060321,-0.025471,-0.015619,0.020095,-0.017218,0.014757,-0.47834,0.094455,0.034224,0.02152,-0.0,2.12949,0.976562,70.3125,35.15625,105.46875,2.782213,15.351257,-1.862612,-1.204964,-0.756201,0.600377,-0.751746,0.558217,0.180402,-0.828558,0.365833,0.300389,-0.0,2.12949,0.976562,35.15625,34.179687,36.132812,46.219398,91.274109,rung_12_5
-0.077545,-0.027519,-0.015748,0.024986,-0.017627,0.019808,-0.625461,0.23171,0.081187,0.01352,-0.0,2.12949,0.976562,69.335937,70.3125,35.15625,3.823527,21.067997,-2.038837,-1.492774,-1.044211,0.09381,-1.036053,0.51915,0.084898,-1.005682,0.59371,0.214621,-0.0,2.12949,0.976562,35.15625,34.179687,15.625,48.990189,110.802307,rung_12_5
-0.110997,-0.036587,-0.021128,0.018793,-0.024935,0.02377,-0.909745,0.635901,0.113246,0.010925,-0.0,2.12949,0.976562,34.179687,68.359375,69.335937,4.028817,21.254114,-2.637346,-1.752633,-1.257192,0.252065,-1.241456,0.627621,0.164166,-0.75161,1.366108,0.095403,-0.0,2.12949,34.179687,0.976562,35.15625,1.953125,52.298141,143.224976,rung_12_5
-0.074274,-0.013256,-0.000939,0.069291,-0.002944,0.023252,-0.397883,0.678482,0.183397,0.009562,-0.0,2.12949,68.359375,102.539062,0.0,1.953125,4.057177,20.679745,-2.604865,-1.748819,-1.254167,0.583419,-1.226599,0.637269,0.188006,-0.672051,3.126797,0.153441,-0.0,2.12949,0.976562,34.179687,35.15625,33.203125,56.771645,153.880768,rung_12_5
-0.091382,-0.032259,-0.01821,0.025183,-0.020675,0.022395,-0.752872,0.403394,0.118444,0.008663,-0.0,2.12949,34.179687,68.359375,0.976562,102.539062,4.440582,21.619661,-2.638351,-1.767069,-1.292742,0.242629,-1.254876,0.636452,0.088357,-0.921734,2.320026,0.237787,-0.0,2.12949,0.976562,34.179687,35.15625,33.203125,69.431038,166.332138,rung_12_5
-0.098545,-0.036766,-0.022395,0.019739,-0.025738,0.022465,-0.969523,0.896542,0.13537,0.006363,-0.0,2.12949,0.976562,34.179687,68.359375,102.539062,4.540436,22.909153,-2.741864,-1.879607,-1.397509,0.342547,-1.351397,0.666821,0.293768,-0.693677,2.930686,0.317165,-0.0,2.12949,0.976562,34.179687,33.203125,4.882812,66.840706,163.882416,rung_12_5
-0.089413,-0.025601,-0.011887,0.03919,-0.014626,0.022637,-0.815706,0.73866,0.184196,0.005599,-0.0,2.12949,34.179687,0.976562,67.382812,33.203125,4.517037,23.172644,-2.960968,-2.218361,-1.743177,0.0,-1.707397,0.670112,0.303058,-0.688668,1.130156,0.145537,-0.0,2.12949,0.976562,34.179687,33.203125,1.953125,55.822861,162.520432,rung_12_5
-0.083227,-0.012292,0.004629,0.065821,0.002197,0.02549,-0.576462,0.334254,0.714412,0.040764,-0.0,2.12949,34.179687,67.382812,100.585937,66.40625,4.139275,22.281277,-3.134995,-2.218413,-1.703091,0.331126,-1.678563,0.676121,0.19061,-0.600177,10.032365,0.206179,-0.0,2.12949,0.976562,33.203125,34.179687,3.90625,57.99921,186.064087,rung_12_5
-0.081038,-0.014468,1.5e-05,0.05318,-0.002247,0.023989,-0.735747,0.50593,1.036109,0.019459,-0.0,2.12949,34.179687,67.382812,100.585937,66.40625,4.010056,22.239719,-3.263632,-2.204111,-1.688568,0.012192,-1.634962,0.698975,0.090363,-0.844139,10.778598,0.212709,-0.0,2.12949,0.976562,33.203125,34.179687,4.882812,55.226158,175.427551,rung_12_5
