feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.042063,-0.03886,-0.037496,0.0,-0.037593,0.001984,6.460684,123.788788,0.002636,0.002963,-0.0,1.944166,0.976562,1.953125,16.601562,2.929688,0.659805,0.730229,-2.10245,-1.747079,-0.93697,0.0,-1.091141,0.630352,-0.240724,-1.499146,0.116827,0.040532,-0.0,1.944166,0.976562,1.953125,4.882812,9.765625,19.720905,17.323307,rung_6
-0.042078,-0.040312,-0.039576,0.0,-0.039483,0.001654,13.30595,314.72345,0.002773,0.002678,-0.0,2.12949,0.976562,16.601562,15.625,1.953125,0.658929,0.725179,-2.044722,-1.753362,-1.051781,0.0,-1.068161,0.651088,-0.08369,-1.560025,0.121951,0.073251,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,21.75457,17.168633,rung_6
-0.048292,-0.045123,-0.043395,0.0,-0.043272,0.002794,3.834417,54.80563,0.001358,0.003286,-0.0,2.12949,0.976562,1.953125,16.601562,15.625,0.729469,0.760083,-2.243943,-2.005131,-1.118681,0.0,-1.19316,0.751371,-0.076075,-1.718896,0.209437,0.101327,-0.0,2.12949,0.976562,1.953125,3.90625,4.882812,27.498657,25.082911,rung_6
-0.045554,-0.04301,-0.041488,0.0,-0.041526,0.002217,6.400813,118.193893,0.002613,0.003611,-0.0,2.12949,0.976562,16.601562,15.625,1.953125,0.705814,0.808119,-2.267648,-2.01933,-1.191472,0.0,-1.215959,0.75316,-0.07497,-1.678311,0.212556,0.117613,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,27.708408,25.793041,rung_6
-0.040679,-0.038877,-0.037745,0.0,-0.037516,0.001977,6.732149,124.446205,0.007092,0.003776,-0.0,2.12949,0.976562,1.953125,16.601562,15.625,0.702761,0.795075,-2.280529,-2.077992,-1.129249,0.0,-1.222504,0.76922,-0.072024,-1.702048,0.096829,0.10984,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,27.863955,24.449785,rung_6
-0.044894,-0.04305,-0.042532,0.0,-0.042467,0.001576,19.077011,512.06842,0.004919,0.002996,-0.0,2.12949,0.976562,16.601562,15.625,33.203125,0.723927,0.805231,-1.912216,-1.648303,-0.963893,0.0,-1.003879,0.586334,-0.11067,-1.520176,0.149729,0.140735,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,33.156261,30.224186,rung_6
-0.049257,-0.045586,-0.044596,0.0,-0.044777,0.002164,8.406213,176.86409,0.004369,0.003152,-0.0,2.12949,0.976562,1.953125,16.601562,3.90625,0.752065,0.809597,-1.971698,-1.629858,-0.944071,0.0,-1.010079,0.579231,-0.178257,-1.452371,0.147746,0.133692,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,35.316883,31.87479,rung_6
-0.046391,-0.043594,-0.040137,0.0,-0.040399,0.003343,1.592201,19.013306,0.002144,0.002729,-0.0,2.12949,0.976562,16.601562,1.953125,15.625,0.697796,0.756852,-2.030438,-1.608862,-0.96676,0.0,-1.033687,0.597715,-0.196991,-1.437578,0.139204,0.144277,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,36.202526,33.462791,rung_6
-0.041703,-0.037947,-0.036823,0.0,-0.036854,0.001964,6.198486,119.249352,0.001606,0.003217,-0.0,2.12949,0.976562,16.601562,1.953125,15.625,0.651329,0.708542,-2.245573,-1.84726,-1.140865,0.0,-1.191115,0.645732,-0.187394,-1.431173,0.224984,0.16993,-0.0,2.12949,1.953125,0.976562,2.929688,4.882812,39.172115,35.825775,rung_6
-0.036802,-0.03308,-0.031265,0.0,-0.03175,0.002009,3.33652,59.445557,0.003132,0.002182,-0.0,2.12949,0.976562,16.601562,15.625,33.203125,0.605217,0.688234,-2.270607,-1.841608,-1.137991,0.0,-1.201964,0.659804,-0.140413,-1.435782,0.152764,0.166608,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,41.866901,37.601807,rung_6
-0.03936,-0.03766,-0.037108,0.0,-0.036858,0.001704,10.518718,212.880707,0.003985,0.002695,-0.0,2.12949,0.976562,16.601562,1.953125,15.625,0.651131,0.772236,-2.349657,-1.973237,-1.253646,0.0,-1.296997,0.68774,-0.074032,-1.510488,0.141541,0.173218,-0.0,2.12949,0.976562,1.953125,4.882812,5.859375,40.723709,36.08289,rung_6
-0.045991,-0.043499,-0.042199,0.0,-0.041907,0.002308,5.938878,104.076576,0.002496,0.0041,-0.0,2.12949,0.976562,1.953125,16.601562,2.929688,0.71349,0.805932,-2.311199,-1.992505,-1.434264,0.0,-1.479419,0.511046,0.043612,-1.331751,0.220552,0.131675,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,32.544823,30.511381,rung_6
