feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
0.0,0.021453,0.02182,0.022729,0.021788,0.000822,-18.15132,479.733582,0.001777,0.001756,-0.0,2.12949,0.976562,2.929688,1.953125,5.859375,0.358458,0.35938,0.0,0.020827,0.021301,0.022682,0.021325,0.000942,-11.195542,253.833069,0.001825,0.001723,-0.0,2.12949,0.976562,5.859375,2.929688,8.789063,0.351743,0.353463,stop
0.0,0.022493,0.023145,0.023683,0.022957,0.000883,-17.214628,443.423126,0.001787,0.001885,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.380407,0.380597,0.0,0.022778,0.023572,0.02442,0.023392,0.001004,-12.417964,285.562347,0.001971,0.001901,-0.0,2.12949,0.976562,1.953125,2.929688,5.859375,0.386166,0.386876,stop
0.0,0.023119,0.023345,0.024094,0.023384,0.000807,-23.734188,686.015442,0.00195,0.00191,-0.0,2.12949,0.976562,1.953125,12.695313,2.929688,0.391811,0.391686,0.0,0.024054,0.024436,0.025314,0.024479,0.000902,-19.504574,527.793945,0.002142,0.002003,-0.0,2.12949,0.976562,1.953125,3.90625,6.835937,0.407857,0.408114,stop
0.0,0.02274,0.022896,0.02407,0.0229,0.000782,-24.44422,715.57959,0.001783,0.001888,-0.0,2.12949,0.976562,1.953125,4.882812,2.929688,0.386587,0.386983,0.0,0.024532,0.024718,0.025303,0.024686,0.000806,-28.083618,857.605896,0.001964,0.002078,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,0.412505,0.412369,stop
0.0,0.022994,0.023205,0.023677,0.02316,0.000784,-25.182636,740.50708,0.001944,0.001829,-0.0,2.12949,0.976562,2.929688,12.695313,1.953125,0.38168,0.381602,0.0,0.024906,0.025223,0.025778,0.025175,0.000874,-23.353579,669.497986,0.002104,0.002006,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.415223,0.415143,stop
0.0,0.022749,0.023091,0.023759,0.023038,0.000826,-21.215904,589.219971,0.001755,0.001897,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.387347,0.387488,0.0,0.025289,0.025603,0.026312,0.025576,0.000904,-22.094677,621.827759,0.001947,0.002094,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.426093,0.426069,stop
0.0,0.023486,0.023835,0.024524,0.023803,0.000845,-21.786919,611.137695,0.00199,0.001932,-0.0,2.12949,0.976562,12.695313,1.953125,25.390625,0.395635,0.395981,0.0,0.026156,0.026565,0.027367,0.026543,0.000958,-20.74295,572.272766,0.002181,0.002146,-0.0,2.12949,0.976562,12.695313,1.953125,3.90625,0.440032,0.440355,stop
0.0,0.02428,0.024546,0.025155,0.024499,0.000835,-24.644648,720.115173,0.002036,0.001965,-0.0,1.962227,0.976562,1.953125,2.929688,12.695313,0.407267,0.407168,0.0,0.027159,0.027597,0.028263,0.027499,0.000948,-23.817329,688.235229,0.002262,0.002214,-0.0,1.962227,0.976562,1.953125,2.929688,12.695313,0.456073,0.456124,stop
0.0,0.024558,0.02496,0.025815,0.024942,0.000921,-19.402628,523.222412,0.002006,0.001999,-0.0,2.12949,0.976562,1.953125,2.929688,11.71875,0.417949,0.417702,0.0,0.027749,0.028269,0.029114,0.028203,0.001055,-18.647211,495.502838,0.002369,0.002287,-0.0,2.12949,0.976562,1.953125,3.90625,4.882812,0.470072,0.470172,stop
0.0,0.025423,0.025686,0.026336,0.025672,0.000868,-25.28356,745.880432,0.002047,0.002074,-0.0,1.962227,0.976562,1.953125,12.695313,25.390625,0.427522,0.427607,0.0,0.02873,0.029108,0.030043,0.029148,0.001028,-22.234018,628.99884,0.002465,0.002323,-0.0,1.962227,0.976562,1.953125,12.695313,4.882812,0.484584,0.484635,stop
0.0,0.026033,0.026336,0.026821,0.02625,0.000879,-25.981026,772.517151,0.002133,0.002132,-0.0,2.12949,0.976562,1.953125,12.695313,6.835937,0.435925,0.435687,0.0,0.029667,0.030024,0.030433,0.029917,0.000977,-28.032866,855.371033,0.002455,0.002412,-0.0,2.12949,0.976562,1.953125,12.695313,4.882812,0.49585,0.495579,stop
0.0,0.024786,0.02502,0.026767,0.025067,0.000945,-17.959522,480.656769,0.002068,0.002023,-0.0,2.12949,0.976562,2.929688,3.90625,1.953125,0.41699,0.418539,0.0,0.028861,0.029072,0.030425,0.029137,0.001004,-23.784309,690.071533,0.00236,0.002375,-0.0,2.12949,0.976562,2.929688,3.90625,1.953125,0.482996,0.483774,stop
