feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
0.0,0.032114,0.033066,0.036739,0.033104,0.001685,-7.228101,143.432297,0.002972,0.004018,-0.0,2.12949,0.976562,63.476562,64.453125,6.835937,0.719807,0.739124,0.0,0.01844,0.020921,0.0298,0.020751,0.003304,-0.286501,0.741724,0.00145,0.000777,-0.0,2.12949,0.976562,63.476562,64.453125,41.015625,0.818514,0.977891,0.0,0.166776,0.200286,0.236363,0.192084,0.02791,-0.591898,0.702651,0.006013,0.013531,-0.0,2.12949,0.976562,1.953125,3.90625,373.046875,7.046812,5.604466,normal
0.0,0.028677,0.029825,0.03423,0.029916,0.001919,-3.567033,56.092567,0.005307,0.00591,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.691149,0.716385,0.0,0.018681,0.021801,0.031739,0.021631,0.004217,-0.263195,0.247295,0.004503,0.000896,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.764315,0.987732,0.0,0.195014,0.21644,0.243684,0.210093,0.020295,-1.53392,9.959928,0.04613,0.020434,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,6.567285,5.629114,normal
0.0,0.027809,0.030093,0.035017,0.030008,0.002629,-1.425441,14.97097,0.007935,0.006206,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.676288,0.72563,-0.002693,0.012533,0.01997,0.033662,0.01853,0.008039,-0.479035,-0.568825,0.007573,0.001896,-0.0,2.12949,0.976562,63.476562,64.453125,41.015625,0.875094,1.131285,0.0,0.201607,0.214018,0.244678,0.215088,0.017765,-1.741783,19.327137,0.031489,0.018321,-0.0,2.12949,0.976562,1.953125,4.882812,41.015625,6.793298,5.752301,normal
0.0,0.030432,0.031606,0.037228,0.031968,0.002248,-2.51253,38.402451,0.007026,0.004249,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.709014,0.75014,0.0,0.022405,0.024946,0.033697,0.024872,0.003745,-0.349133,1.169191,0.004843,0.003571,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.920528,1.155505,0.0,0.204232,0.221083,0.25157,0.216991,0.022197,-1.469039,7.851423,0.011689,0.015722,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,7.000851,5.98605,normal
0.0,0.03078,0.031555,0.037926,0.031554,0.001601,-7.028027,146.78476,0.005287,0.002626,-0.0,2.12949,0.976562,63.476562,64.453125,2.929688,0.695848,0.732877,0.0,0.0176,0.022563,0.033008,0.021484,0.006005,-0.56246,-0.325787,0.002178,0.0037,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.879638,0.981835,0.0,0.15428,0.199504,0.251609,0.189844,0.034073,-0.255574,-0.652597,0.036146,0.018485,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,6.991727,5.51341,normal
0.0,0.029641,0.030373,0.033201,0.030387,0.001484,-8.397985,169.691284,0.004848,0.002756,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.659834,0.733547,0.0,0.025045,0.027674,0.035803,0.027442,0.003424,-0.58659,3.157857,0.003927,0.002998,-0.0,2.12949,0.976562,63.476562,64.453125,41.015625,0.870219,1.098344,0.0,0.171091,0.21189,0.246185,0.198262,0.035551,-0.968177,0.161419,0.011395,0.022248,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,6.729987,6.007145,normal
0.0,0.025371,0.028269,0.031765,0.027594,0.002672,-1.345803,9.55033,0.000768,0.002596,-0.0,2.12949,0.976562,1.953125,63.476562,64.453125,0.635757,0.669119,0.0,0.018496,0.02116,0.031245,0.021145,0.003981,-0.24596,0.253081,0.002066,0.002248,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.853216,1.146402,0.0,0.172782,0.204637,0.247552,0.196335,0.03024,-0.83468,0.740712,0.014651,0.009269,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,6.460814,5.849264,normal
0.0,0.031264,0.032983,0.03607,0.032635,0.002192,-3.527098,46.476448,0.004869,0.00609,-0.0,2.12949,0.976562,63.476562,64.453125,6.835937,0.658804,0.708433,0.0,0.023995,0.026736,0.036159,0.026667,0.004013,-0.471123,1.291315,0.003797,0.002007,-0.0,2.12949,0.976562,63.476562,64.453125,3.90625,0.806696,0.988222,0.0,0.187779,0.222479,0.247826,0.211768,0.023999,-1.112756,4.413027,0.019653,0.017087,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,6.227001,5.579522,normal
0.0,0.03123,0.032056,0.037125,0.03211,0.001657,-6.760471,136.341141,0.00476,0.00529,-0.0,2.12949,0.976562,1.953125,63.476562,64.453125,0.684833,0.74421,0.0,0.019964,0.023372,0.032686,0.022939,0.004471,-0.440259,0.113577,0.001659,0.000853,-0.0,2.12949,0.976562,63.476562,64.453125,41.015625,0.797684,1.05742,0.0,0.203185,0.220499,0.251163,0.215348,0.021397,-1.564175,9.003954,0.014822,0.018455,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,6.146798,5.638595,normal
0.0,0.027723,0.030394,0.038539,0.030631,0.004049,-0.325825,1.910779,0.004875,0.005154,-0.0,2.12949,0.976562,63.476562,64.453125,2.929688,0.683783,0.738395,0.0,0.016487,0.023839,0.034297,0.021969,0.007657,-0.614619,-0.592376,0.001496,0.00424,-0.0,2.12949,0.976562,63.476562,64.453125,2.929688,0.845237,1.056196,0.0,0.188785,0.224685,0.259794,0.216304,0.02814,-0.839055,1.965105,0.026246,0.027661,-0.0,2.12949,0.976562,1.953125,3.90625,4.882812,6.244082,5.503625,normal
