feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
-0.055849,-0.000762,0.054191,0.278061,0.058151,0.067124,0.462539,-0.361433,0.034975,0.014647,-0.0,1.944166,35.15625,34.179687,0.976562,36.132812,3.390119,9.388673,-0.248767,-0.111298,-0.008104,0.415256,0.023712,0.154225,0.339282,-1.102533,0.317834,0.014629,-0.0,1.944166,34.179687,36.132812,0.0,69.335937,6.355042,26.620834,-0.285415,-0.150936,-0.025629,0.209101,-0.033307,0.126327,-0.091045,-1.267595,0.189783,0.038726,-0.0,1.944166,1.953125,0.0,69.335937,5.859375,10.925529,15.583739,rung_12_5
-0.044618,-0.003877,0.039825,0.216628,0.049681,0.059918,0.273727,-1.035361,0.066512,0.008858,-0.0,1.962227,35.15625,34.179687,0.976562,36.132812,3.243863,9.376397,-0.223127,-0.106093,-0.002708,0.341874,0.029376,0.150577,0.296494,-1.261251,0.407011,0.012361,-0.0,1.962227,34.179687,0.0,36.132812,69.335937,6.207244,27.345606,-0.31721,-0.153915,-0.00595,0.187876,-0.028982,0.132775,-0.234459,-1.372945,0.25853,0.048887,-0.0,1.962227,0.0,1.953125,5.859375,2.929688,11.53014,16.511496,rung_12_5
-0.055823,-0.012545,0.030482,0.19098,0.039681,0.058873,0.245938,-1.178085,0.095988,0.016534,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.333209,9.542321,-0.227023,-0.116751,0.002992,0.571838,0.029526,0.167142,0.499645,-0.536733,0.243678,0.028336,-0.0,2.12949,34.179687,69.335937,36.132812,0.976562,8.048901,27.702253,-0.438463,-0.258852,-0.135773,0.10489,-0.135429,0.143512,-0.131883,-1.302473,0.119162,0.004205,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,12.637801,16.298409,rung_12_5
-0.055889,-0.017289,0.025286,0.134974,0.035033,0.05714,0.200612,-1.39584,0.029751,0.003426,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,2.775606,9.293147,-0.225285,-0.124089,-0.025243,0.338896,0.008226,0.149671,0.347028,-1.191927,0.366528,0.017343,-0.0,2.12949,34.179687,36.132812,69.335937,2.929688,6.546405,28.223602,-0.510817,-0.300088,-0.132194,0.190981,-0.136781,0.178961,-0.014991,-1.308613,0.205397,0.072237,-0.0,2.12949,0.0,1.953125,6.835937,69.335937,12.958047,16.592619,rung_12_5
-0.139891,-0.030362,0.009773,0.129628,0.018603,0.061499,0.034721,-0.933667,0.080482,0.007304,-0.0,2.12949,34.179687,0.0,0.976562,36.132812,3.078679,9.516333,-0.545349,-0.163685,-0.066713,0.346848,-0.038747,0.168352,0.031178,-0.48699,0.34873,0.016065,-0.0,2.12949,34.179687,69.335937,0.0,36.132812,7.907721,27.698011,-0.574617,-0.354326,-0.163623,0.180753,-0.164564,0.210601,-0.073983,-1.440425,0.171321,0.034181,-0.0,2.12949,0.0,1.953125,5.859375,4.882812,13.116184,16.625708,rung_12_5
-0.055571,-0.016624,0.024268,0.139486,0.035118,0.057019,0.213388,-1.376893,0.048426,0.012204,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.015601,9.415268,-0.298215,-0.134493,-0.034633,0.345968,-0.003244,0.1517,0.326415,-1.106862,0.317222,0.016339,-0.0,2.12949,34.179687,69.335937,36.132812,2.929688,6.822368,27.229683,-0.355885,-0.196948,-0.067874,0.188724,-0.061078,0.148283,0.011985,-1.385529,0.112017,0.031263,-0.0,2.12949,1.953125,69.335937,4.882812,0.0,11.32827,15.030435,rung_12_5
-0.043734,-0.001261,0.046366,0.231246,0.053939,0.061547,0.30789,-0.919328,0.062194,0.015809,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,3.685614,9.542705,-0.215869,-0.120355,-0.019351,0.321785,0.013509,0.148578,0.319558,-1.242592,0.322413,0.016069,-0.0,2.12949,34.179687,0.0,69.335937,36.132812,6.933626,26.886847,-0.531691,-0.267322,-0.0957,0.137542,-0.124361,0.165256,-0.273311,-1.150876,0.191718,0.056334,-0.0,2.12949,0.0,1.953125,5.859375,6.835937,12.710389,15.969269,rung_12_5
-0.062742,-0.015084,0.026437,0.138133,0.036918,0.057086,0.201078,-1.380128,0.088798,0.014741,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,2.96243,9.845965,-0.262468,-0.132955,-0.033914,0.323944,-0.000436,0.151122,0.347769,-1.172202,0.343305,0.012099,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,6.401603,27.541651,-0.365609,-0.174109,-0.050134,0.241721,-0.044318,0.154103,-0.195972,-1.175513,0.160692,0.01427,-0.0,2.12949,1.953125,5.859375,69.335937,70.3125,11.923618,16.713829,rung_12_5
-0.156715,-0.033948,0.005025,0.136927,0.013225,0.064569,-0.031459,-0.732218,0.055901,0.010512,-0.0,2.12949,34.179687,0.0,0.976562,36.132812,2.858016,9.231746,-0.313873,-0.135904,-0.0438,0.336186,-0.00915,0.153562,0.345137,-0.964847,0.333389,0.014078,-0.0,2.12949,34.179687,36.132812,69.335937,70.3125,6.217608,26.529179,-0.436062,-0.23603,-0.075768,0.191087,-0.0857,0.162685,-0.177326,-1.175584,0.051712,0.012394,-0.0,2.12949,0.0,1.953125,5.859375,6.835937,11.790188,15.180779,rung_12_5
-0.064719,-0.016017,0.025846,0.137152,0.036008,0.057382,0.199574,-1.385225,0.08177,0.009133,-0.0,2.12949,35.15625,34.179687,0.976562,36.132812,2.998107,9.459548,-0.234167,-0.111481,-0.015519,0.32651,0.018321,0.148046,0.316837,-1.250929,0.391279,0.008382,-0.0,2.12949,34.179687,0.0,36.132812,69.335937,6.68777,27.124086,-0.708205,-0.42177,-0.130919,0.16581,-0.201819,0.251525,-0.353215,-1.308443,0.177205,0.052837,-0.0,2.12949,0.0,1.953125,5.859375,4.882812,12.945744,16.742233,rung_12_5
-0.048425,-0.008509,0.0351,0.202307,0.044299,0.059548,0.246378,-1.15598,0.058912,0.013434,-0.0,1.962227,35.15625,34.179687,0.976562,36.132812,3.309196,9.448561,-0.291684,-0.132564,-0.035194,0.31788,-0.002565,0.149839,0.324448,-1.169464,0.372011,0.012664,-0.0,1.962227,34.179687,36.132812,69.335937,0.976562,7.088922,26.80913,-0.498775,-0.32103,-0.159251,0.113812,-0.171252,0.163452,-0.154263,-1.293701,0.224988,0.037947,-0.0,1.962227,0.976562,1.953125,4.882812,5.859375,12.833438,16.81974,rung_12_5
-0.366833,-0.056888,-0.009631,0.162581,-0.0191,0.10243,-0.942774,0.793672,0.080844,0.006513,-0.0,2.12949,0.976562,34.179687,1.953125,36.132812,3.332978,9.542818,-0.638345,-0.161868,-0.06889,0.334628,-0.045573,0.180899,-0.241808,0.089191,0.391792,0.012756,-0.0,2.12949,34.179687,0.976562,0.0,36.132812,6.426123,27.220539,-0.366641,-0.189016,-0.120816,0.085686,-0.121446,0.097875,-0.163196,-0.654065,0.111468,0.015967,-0.0,2.12949,0.976562,1.953125,5.859375,4.882812,11.540476,14.983605,rung_12_5
-0.067837,-0.021768,0.019682,0.131451,0.030554,0.057446,0.215046,-1.362998,0.069062,0.006443,-0.0,2.12949,0.0,34.179687,0.976562,36.132812,3.13696,9.326761,-0.216988,-0.110165,-0.002386,0.411226,0.026581,0.153605,0.348099,-1.090436,0.342973,0.019874,-0.0,2.12949,34.179687,36.132812,0.0,69.335937,7.754642,26.539452,-0.63421,-0.395248,-0.083854,0.197371,-0.178159,0.244704,-0.239431,-1.488501,0.197423,0.041417,-0.0,2.12949,0.0,1.953125,4.882812,5.859375,12.904291,16.742676,rung_12_5
