feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
0.0,0.027426,0.028729,0.033024,0.028629,0.002085,-2.55705,33.484177,0.002654,0.00516,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.648567,0.701567,0.0,0.023977,0.028365,0.043268,0.028285,0.006138,-0.05281,-0.15428,0.007416,0.003351,-0.0,2.12949,0.976562,16.601562,2.929688,63.476562,1.303714,1.267151,-0.498026,-0.319778,-0.197407,0.105277,-0.178194,0.167598,0.055167,-1.220721,0.032362,0.049187,-0.0,2.12949,0.976562,1.953125,3.90625,16.601562,11.213257,8.363713,rung_6
0.0,0.022003,0.024366,0.030245,0.023924,0.002983,-0.948039,3.441947,0.004355,0.0013,-0.0,2.12949,0.976562,16.601562,63.476562,1.953125,0.61282,0.666489,0.0,0.018537,0.022952,0.04066,0.022934,0.006522,-0.021499,-0.291794,0.003199,0.004025,-0.0,2.12949,0.976562,16.601562,63.476562,64.453125,1.288893,1.271407,-0.61479,-0.414052,-0.157105,0.10393,-0.204898,0.226424,-0.209204,-1.458636,0.038254,0.009488,-0.0,2.12949,0.976562,1.953125,16.601562,2.929688,10.367602,7.183726,rung_6
0.0,0.023724,0.025224,0.030179,0.025139,0.002329,-1.372774,12.28697,0.004662,0.000938,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.647818,0.729968,-0.004866,0.014399,0.022326,0.044224,0.021089,0.009572,-0.30967,-0.406823,0.004139,0.001652,-0.0,2.12949,0.976562,16.601562,63.476562,64.453125,1.341673,1.287175,-0.556052,-0.411787,-0.230065,0.058413,-0.224532,0.184924,-0.052944,-1.293942,0.076862,0.02308,-0.0,2.12949,0.976562,1.953125,16.601562,4.882812,10.806638,7.204258,rung_6
0.0,0.025641,0.027385,0.032165,0.027126,0.002713,-1.481273,9.216724,0.001066,0.003873,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.660532,0.720807,0.0,0.024873,0.029436,0.048958,0.029067,0.006268,-0.145194,0.061725,0.003386,0.000127,-0.0,2.12949,0.976562,16.601562,63.476562,2.929688,1.421965,1.285909,-0.562454,-0.345869,-0.179544,0.109291,-0.185487,0.191986,-0.087159,-1.288479,0.018254,0.021397,-0.0,2.12949,0.976562,1.953125,4.882812,16.601562,9.8049,6.188228,rung_6
0.0,0.024474,0.026434,0.032119,0.026343,0.002688,-1.009783,7.880591,0.001505,0.003293,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.669572,0.678869,0.0,0.017354,0.022963,0.044555,0.023087,0.007897,0.093299,-0.43925,0.011191,0.003666,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.363963,1.297062,-0.560937,-0.380196,-0.168243,0.059369,-0.206665,0.175533,-0.36017,-1.265193,0.052793,0.006682,-0.0,2.12949,0.976562,1.953125,16.601562,15.625,9.628873,6.508435,rung_6
0.0,0.027181,0.029017,0.034345,0.028894,0.002593,-1.485589,13.961241,0.002742,0.003958,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.683641,0.720928,0.0,0.02417,0.029193,0.050956,0.029317,0.007442,-0.038663,-0.040102,0.003154,0.002975,-0.0,2.12949,0.976562,16.601562,3.90625,63.476562,1.410766,1.310345,-0.461357,-0.327146,-0.088938,0.109385,-0.137932,0.175148,-0.250093,-1.494364,0.023995,0.012631,-0.0,2.12949,0.976562,1.953125,3.90625,16.601562,9.125973,6.024672,rung_6
0.0,0.02631,0.028203,0.034273,0.027954,0.002598,-1.472156,12.142874,0.003755,0.002929,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.694843,0.72767,-0.003696,0.015756,0.025966,0.046422,0.024133,0.011086,-0.39674,-0.646696,0.010164,0.000511,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,1.404899,1.457234,-0.402727,-0.265553,-0.080453,0.112743,-0.111493,0.156179,-0.171422,-1.475848,0.036123,0.020006,-0.0,2.12949,0.976562,1.953125,16.601562,15.625,9.09824,6.58163,rung_6
0.0,0.023419,0.024763,0.030729,0.024796,0.002311,-1.128543,12.156888,0.001809,0.001,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.673919,0.733101,0.0,0.024589,0.029438,0.044741,0.029108,0.006382,-0.163881,0.142514,0.006705,0.002708,-0.0,2.12949,0.976562,16.601562,63.476562,64.453125,1.426851,1.292266,-0.46496,-0.30973,-0.123468,0.083675,-0.139238,0.170556,-0.269352,-1.379106,0.02102,0.00942,-0.0,2.12949,0.976562,1.953125,16.601562,5.859375,9.701836,6.185177,rung_6
0.0,0.025419,0.027468,0.033967,0.027393,0.0029,-0.879759,6.673698,0.006002,0.001491,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.640726,0.718207,-0.003184,0.01375,0.020444,0.042294,0.020143,0.009192,-0.147183,-0.488739,0.005976,0.002728,-0.0,2.12949,0.976562,16.601562,63.476562,3.90625,1.255029,1.217587,-0.436205,-0.297384,-0.098708,0.087943,-0.14026,0.158934,-0.226619,-1.391637,0.028894,0.00674,-0.0,2.12949,0.976562,1.953125,16.601562,15.625,9.049861,6.072902,rung_6
0.0,0.027428,0.029062,0.033315,0.028888,0.002278,-2.180753,24.170841,0.005987,0.003665,-0.0,2.12949,0.976562,16.601562,63.476562,15.625,0.693838,0.710062,0.0,0.024256,0.028524,0.044181,0.02842,0.006113,-0.181613,-0.021148,0.005335,0.006017,-0.0,2.12949,0.976562,16.601562,63.476562,2.929688,1.35948,1.275226,-0.434991,-0.313772,-0.110899,0.118927,-0.135315,0.168686,-0.243565,-1.360057,0.029163,0.019175,-0.0,2.12949,0.976562,1.953125,4.882812,16.601562,9.483141,6.462183,rung_6
