feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,state
0.0,0.038264,0.03898,0.040562,0.038961,0.00151,-16.759268,430.320282,0.002681,0.003045,-0.0,0.0,0.976562,1.953125,8.789063,3.90625,0.639711,0.641019,0.0,0.030475,0.031266,0.032659,0.031201,0.001308,-13.263821,313.911133,0.001979,0.002499,-0.0,0.0,0.976562,1.953125,3.90625,5.859375,0.511155,0.512506,0.0,0.139796,0.14047,0.141912,0.140323,0.004465,-30.303745,949.382935,0.010765,0.011193,-0.0,0.0,0.976562,1.953125,6.835937,11.71875,2.302899,2.302883,stop
0.0,0.03908,0.039228,0.040532,0.039187,0.00126,-29.371628,911.2323,0.003404,0.003186,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.65711,0.656585,0.0,0.031112,0.031307,0.032618,0.031261,0.001024,-27.761639,845.688171,0.002767,0.002599,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.527734,0.526963,0.0,0.139483,0.1398,0.14186,0.139691,0.004394,-31.379292,994.733826,0.011614,0.01126,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,2.31157,2.310982,stop
0.0,0.032128,0.032969,0.039566,0.033535,0.00236,-1.655879,39.442566,0.003465,0.002937,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.596291,0.603635,0.0,0.024492,0.02524,0.031701,0.025824,0.002225,-0.244894,17.705172,0.002874,0.002264,-0.0,2.12949,0.976562,1.953125,2.929688,5.859375,0.467575,0.476874,0.0,0.1308,0.131565,0.140003,0.132316,0.004934,-18.55319,502.523132,0.011736,0.010749,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,2.227017,2.230286,stop
0.0,0.032657,0.0337,0.034402,0.033312,0.001318,-15.898887,396.052673,0.002455,0.002749,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.551626,0.550916,0.0,0.024862,0.025829,0.026493,0.025484,0.001092,-12.588569,287.354095,0.001747,0.002067,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.422963,0.422688,0.0,0.130937,0.132062,0.132941,0.131582,0.004214,-29.728819,925.177856,0.010147,0.010637,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,2.165331,2.164201,stop
0.0,0.023276,0.024426,0.034155,0.026465,0.003864,0.099256,0.584135,0.003873,0.002375,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,0.479254,0.512002,0.0,0.016027,0.017114,0.026302,0.019064,0.003563,0.26814,-0.719526,0.003409,0.001768,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,0.356111,0.395773,0.0,0.11869,0.12022,0.132459,0.122677,0.00611,-7.680377,156.31813,0.010534,0.010173,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,2.070151,2.082489,stop
-0.003912,-0.000266,0.011107,0.024079,0.008314,0.006911,-0.301512,-0.441853,0.005234,0.001143,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.192928,0.396229,-0.009146,-0.00581,0.005012,0.016905,0.002207,0.006456,-0.282282,-0.430973,0.004871,0.000811,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.106093,0.335073,0.0,0.088995,0.103733,0.119933,0.099947,0.009304,-1.421133,11.98668,0.010313,0.008467,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,1.693357,1.750537,stop
-0.096436,-0.080036,-0.065991,0.0,-0.056413,0.029027,0.44123,-1.234699,0.012805,0.002824,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.500292,0.880395,-0.100562,-0.084165,-0.070343,0.0,-0.061044,0.028594,0.447195,-1.219419,0.012553,0.003347,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.57633,0.918399,-0.041374,-0.015734,0.005702,0.086012,0.015684,0.038766,0.349355,-1.219534,0.016372,0.004787,-0.0,2.12949,1.953125,2.929688,3.90625,4.882812,0.920937,1.309291,stop
-0.055353,-0.04152,-0.027507,0.0,-0.032037,0.011964,-0.567957,-0.940371,0.005386,0.002865,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,0.58703,0.768427,-0.060139,-0.04721,-0.033375,0.0,-0.037815,0.011518,-0.542921,-0.915421,0.005825,0.003424,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,0.675393,0.825858,0.0,0.04166,0.060501,0.072929,0.053356,0.01543,-0.749842,-0.724268,0.005558,0.004145,-0.0,2.12949,0.976562,1.953125,4.882812,3.90625,0.804661,1.02591,stop
-0.0189,-0.015944,-0.009338,0.0,-0.010435,0.005216,-0.203829,-1.551518,0.002518,0.000852,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.162187,0.231015,-0.025744,-0.022338,-0.015884,0.0,-0.016886,0.005346,-0.194576,-1.444604,0.003204,0.001406,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,0.264849,0.315586,0.0,0.072702,0.080041,0.086145,0.078586,0.006224,-2.148161,22.857258,0.005493,0.006314,-0.0,2.12949,0.976562,1.953125,2.929688,3.90625,1.302824,1.313259,stop
-0.122963,-0.096341,-0.076944,0.0,-0.072268,0.032281,0.692056,-0.341487,0.008428,0.004379,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,0.612992,1.183232,-0.127914,-0.101189,-0.082021,0.0,-0.077546,0.031768,0.687433,-0.332345,0.008425,0.004393,-0.0,2.12949,0.976562,2.929688,1.953125,3.90625,0.702404,1.236367,-0.066047,-0.028928,-0.005092,0.085857,0.000289,0.040503,0.609326,-0.382906,0.003267,0.003677,-0.0,2.12949,0.0,2.929688,1.953125,3.90625,0.844096,1.514401,stop
-0.071242,-0.0564,-0.044264,0.0,-0.045321,0.014613,-0.195052,-1.126362,0.006306,0.003789,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.758489,0.942537,-0.076539,-0.061845,-0.049795,0.0,-0.050962,0.014361,-0.188931,-1.053963,0.005743,0.004343,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.848638,1.011597,0.0,0.026847,0.041354,0.064115,0.039625,0.017638,-0.276386,-1.136527,0.006593,0.003606,-0.0,2.12949,0.976562,1.953125,2.929688,4.882812,0.647172,0.921661,stop
